linha,alpha.raw_alpha,alpha.std.alpha,alpha.G6(smc),alpha.average_r,alpha.S/N,alpha.ase,alpha.mean,alpha.sd,alpha.median_r
25,0.8992657240031905,0.9140383612940259,0.9840798351989309,0.2436933661689559,10.63309605369939,0.020539628199753444,4.150896722325294,0.5112556861709382,0.23017508349285776
26,0.8832712046695695,0.90425484736419,0.9818579075731165,0.22251214627984775,9.44439297938919,0.02367682825210136,4.2102659245516385,0.47364777654427254,0.19654111146556902
27,0.8819962787992128,0.901063981985575,0.9800538301434529,0.21629242422891523,9.107542430646426,0.023779364631343346,4.186147186147186,0.4641658691527391,0.20631851364095405
28,0.8980890299135514,0.9136326703919196,0.9840103289707611,0.242745019334175,10.57845222884421,0.02079374017011304,4.155225726654298,0.5124196971384926,0.2279159854393295
29,0.8953440034828142,0.9119561237851794,0.9845700759136354,0.23889431522006577,10.357973353650099,0.021370395960314672,4.146567717996289,0.5082103276930143,0.22445801381826586
30,0.8983793801350582,0.9135522506930299,0.9847752159832841,0.24255780592455672,10.567681148633122,0.02076465293879846,4.1478045763760045,0.5092739815228068,0.2246897023861703
31,0.8936939871864903,0.909867238000022,0.9832334939980371,0.2342453798135342,10.094744883111908,0.02164230950547481,4.169449598021027,0.5030104644738286,0.2231237336052511
32,0.8970096104020583,0.9125922717152946,0.984012254960871,0.24034261318972935,10.440635966911177,0.021011223897356296,4.149659863945578,0.5105786403955912,0.2249516984421173
33,0.8962065775323749,0.9123324726760225,0.9844428182673512,0.23974926499650737,10.406732122197022,0.02118126086541691,4.163883735312306,0.5091344365465911,0.2225591077940339
34,0.8972721666761518,0.9132185728402245,0.9845276804915438,0.2417837442787663,10.523202979352638,0.020981694998845883,4.149659863945578,0.5105786403955912,0.22445801381826586
35,0.8858626073445665,0.9046124295117961,0.9829053192665782,0.2232286857151674,9.48354617778702,0.02331086200813409,4.179962894248608,0.4823724720991508,0.20049997708397455
36,0.8970330316884613,0.9123520080174451,0.9850431771077695,0.23979379109050392,10.409274501109355,0.021047166551948663,4.149041434755721,0.5101823892991657,0.22321586740396376
37,0.8963731815572872,0.9121363610894659,0.9838310599905529,0.23930308522817675,10.381272303304396,0.021100886396465235,4.148423005565863,0.5097475359694895,0.22665989133564626
38,0.8948660928581825,0.9122694006407883,0.9846783832733449,0.23960560733061623,10.39853149646812,0.02143965927491137,4.170068027210885,0.5021310694448659,0.20885443948770557
39,0.8967222284711941,0.9126035578924919,0.9837388901035391,0.2403684482868758,10.44211338454579,0.02107213844941672,4.166357452071738,0.5068071388697284,0.22286567892750658
40,0.8984577864134848,0.9138671496894534,0.9839692638246659,0.24329234085082965,10.609972227722205,0.02071208191565171,4.15460729746444,0.5123678840050473,0.23104255459472006
41,0.8972098631571077,0.9129813347295164,0.9851291671795961,0.24123605897679637,10.491787387127339,0.020971604239121356,4.150278293135436,0.5109363790713878,0.22531224949366235
42,0.8959401443504231,0.9120452334857958,0.9850332345830037,0.23909625747251434,10.369480468560006,0.021227941827368778,4.147186147186147,0.5087616178903278,0.22179912372679927
43,0.8918750370164867,0.909485210987829,0.9836208280681205,0.2334124098923933,10.047918366859756,0.022005566741572998,4.177489177489178,0.5004971510654891,0.2185464733859983
44,0.8966570122088978,0.9126378230644465,0.9840594981439015,0.24044691453778763,10.446601207496172,0.021106395037312774,4.163883735312306,0.5091344365465911,0.22689077790075965
45,0.8982737447241382,0.9140863284600662,0.9840868183638148,0.24380592882530971,10.6395910228931,0.02075756104920968,4.15460729746444,0.5123678840050473,0.23104256026603198
46,0.8948458446872694,0.9110783533218981,0.9840691968316387,0.23692109851480828,10.245855619611042,0.021456649038456854,4.145330859616574,0.506990450703218,0.221536314112105
47,0.8933629486277269,0.9097751243942697,0.9831861507569686,0.23404405639893303,10.083417885438328,0.021776842355416166,4.142857142857143,0.5040773452587023,0.21695449200360944
48,0.8960299092714812,0.911429163117226,0.983765942958806,0.23770624616216512,10.290398004520698,0.021192453659369944,4.146567717996289,0.5082103276930143,0.22080806828308047
49,0.896913338969722,0.9144006614362689,0.9828293244746554,0.24454584870669357,10.682333260735094,0.020931126073075835,4.170686456400742,0.5012111852170481,0.2231831202895298
50,0.896913338969722,0.9144006614362689,0.9828293244746554,0.24454584870669357,10.682333260735094,0.020931126073075835,4.170686456400742,0.5012111852170481,0.2231831202895298
